Type,Sid,Academic Year,isLocal,UserName,UserPassword
School,,,,CityU,Passw0rd
Student,S00001,2,F,John,Passw0rd
Student,S00002,3,F,William,Passw0rd
Student,S00003,3,F,James,Passw0rd
Student,S00004,4,T,Charles,Passw0rd
Student,S00005,3,F,George,Passw0rd
Student,S00006,4,F,Frank,Passw0rd
Student,S00007,2,T,Joseph,Passw0rd
Student,S00008,3,T,Thomas,Passw0rd
Student,S00009,4,T,Henry,Passw0rd
Student,S00010,2,T,Robert,Passw0rd
Student,S00011,3,F,Edward,Passw0rd
Student,S00012,4,T,Harry,Passw0rd
Student,S00013,4,F,Walter,Passw0rd
Student,S00014,1,F,Arthur,Passw0rd
Student,S00015,3,F,Fred,Passw0rd
Student,S00016,3,F,Albert,Passw0rd
Student,S00017,3,T,Samuel,Passw0rd
Student,S00018,2,T,David,Passw0rd
Student,S00019,3,T,Louis,Passw0rd
Student,S00020,4,F,Joe,Passw0rd
Student,S00021,2,T,Charlie,Passw0rd
Student,S00022,4,F,Clarence,Passw0rd
Student,S00023,1,T,Richard,Passw0rd
Student,S00024,3,T,Andrew,Passw0rd
Student,S00025,2,T,Daniel,Passw0rd
Student,S00026,4,F,Ernest,Passw0rd
Student,S00027,1,T,Will,Passw0rd
Student,S00028,1,T,Jesse,Passw0rd
Student,S00029,4,F,Oscar,Passw0rd
Student,S00030,2,F,Lewis,Passw0rd
Student,S00031,3,F,Peter,Passw0rd
Student,S00032,1,F,Benjamin,Passw0rd
Student,S00033,1,T,Frederick,Passw0rd
Student,S00034,1,T,Willie,Passw0rd
Student,S00035,3,F,Alfred,Passw0rd
Student,S00036,3,F,Sam,Passw0rd
Student,S00037,4,F,Roy,Passw0rd
Student,S00038,2,T,Herbert,Passw0rd
Student,S00039,4,F,Jacob,Passw0rd
Student,S00040,1,F,Tom,Passw0rd
Student,S00041,1,T,Elmer,Passw0rd
Student,S00042,4,T,Carl,Passw0rd
Student,S00043,4,F,Lee,Passw0rd
Student,S00044,4,T,Howard,Passw0rd
Student,S00045,4,T,Martin,Passw0rd
Student,S00046,4,T,Michael,Passw0rd
Student,S00047,2,T,Bert,Passw0rd
Student,S00048,3,F,Herman,Passw0rd
Student,S00049,2,F,Jim,Passw0rd
Student,S00050,2,T,Francis,Passw0rd
Student,S00051,1,F,Harvey,Passw0rd
Student,S00052,2,T,Earl,Passw0rd
Student,S00053,2,F,Eugene,Passw0rd
Student,S00054,1,F,Ralph,Passw0rd
Student,S00055,2,T,Ed,Passw0rd
Student,S00056,2,F,Claude,Passw0rd
Student,S00057,2,T,Edwin,Passw0rd
Student,S00058,2,F,Ben,Passw0rd
Student,S00059,2,F,Charley,Passw0rd
Student,S00060,4,F,Paul,Passw0rd
Student,S00061,2,F,Edgar,Passw0rd
Student,S00062,4,F,Isaac,Passw0rd
Student,S00063,4,T,Otto,Passw0rd
Student,S00064,3,T,Luther,Passw0rd
Student,S00065,3,T,Lawrence,Passw0rd
Student,S00066,2,T,Ira,Passw0rd
Student,S00067,1,F,Patrick,Passw0rd
Student,S00068,4,F,Guy,Passw0rd
Student,S00069,2,F,Oliver,Passw0rd
Student,S00070,1,F,Theodore,Passw0rd
Student,S00071,4,F,Hugh,Passw0rd
Student,S00072,4,F,Clyde,Passw0rd
Student,S00073,1,F,Alexander,Passw0rd
